mse,psnr,histogram_compare,ssim,entropy,avgObjArea,displacedObjects,class
26.929823930147766,33.828468469073925,0.021685403014357632,0.96015784197248144,296,278,55.41726618705036,0
55.90303264728459,30.656449925833407,0.024165298733521336,0.91334008707736158,639,388,66.36211340206185,0
34.575903137593549,32.743068279780836,0.026090954497372483,0.94308519589674455,458,383,56.9177545691906,0
26.654465913452313,33.873103760577379,0.02406394015097944,0.95644399558248794,155,302,66.52649006622516,0
29.138499088466705,33.486131831794566,0.022779319238587007,0.95458550685598387,360,365,49.54931506849315,0
442.95328991556323,21.667224292305598,0.026686799513662707,0.35544549792004215,210,106,738.25,1
33.482488965649587,32.882626264848732,0.024833634975958172,0.94168997035459945,158,418,63.17464114832536,0
21.155356457493763,34.87660013487605,0.02282401964278724,0.96453492698987497,190,5,138.7,0
26.082505757052388,33.967310489542889,0.022770313858148292,0.957361953045332,252,368,43.06385869565217,0
34.157236494914606,32.795976342010107,0.02368734845183921,0.94336549973822303,263,378,73.57407407407408,0
48.682351635962384,31.257088118962812,0.02468350950186198,0.91796090445340406,193,442,61.53733031674208,0
21.194153593360198,34.868642835387128,0.02129267457244863,0.96233513911774782,573,5,138.5,0
27.990281975628477,33.660730872733936,0.0220612007556046,0.95222349496258041,413,353,54.461756373937675,0
29.250671656112072,33.469445180328151,0.022431179867187893,0.95156602084281627,412,326,58.96165644171779,0
53.397992227979273,30.855554330659885,0.02639081542917588,0.91296895595318073,446,642,34.03894080996885,0
16.396325081558242,35.983338406033354,0.024219303559504208,0.97297207713058953,372,9,77.66666666666667,0
31.275966705047015,33.178696187397293,0.023053185805597853,0.95137425476037141,480,313,72.65015974440895,0
31.379236830742659,33.164379838932078,0.023281369815034435,0.94943992095772078,205,366,63.14071038251366,0
24.803621545768568,34.185652646176976,0.022364682801042052,0.95824637711789706,333,27,30.14814814814815,0
26.538470303204758,33.892044746689315,0.021923156048644043,0.95796520610440394,476,287,55.36759581881533,0
50.709223877374782,31.07993397299979,0.025827966286164804,0.9179963998596895,251,359,87.14763231197772,0
32.534041570715793,33.007423436102513,0.025055918977051814,0.9465148416201874,233,310,62.16774193548387,0
20.369422855497984,35.041016369351688,0.024063824102310123,0.96441808417798303,490,4,131.375,0
52.291711643638457,30.946475032183844,0.02510148034004088,0.91881745514262958,287,336,71.46130952380952,0
25.200210492227978,34.116761924978228,0.02382470297685752,0.95646145865812593,267,269,75.53717472118959,0
23.503154384954904,34.419542075304065,0.02343283364736383,0.96018285189049235,564,378,41.95238095238095,0
